"","PlayerNamesByOverall","ByOverallRating","PlayerNamesByGKR","ByGKRating","PlayerNamesByAppear","ByAppearances","PlayerNamesByLeages","ByLeagues"
"1","Lionel Messi",94,"Gianluigi Buffon",449,"Steve Mandanda",300,"Gelson Fernandes",6
"2","Gianluigi Buffon",93,"Gregory Coupet",447,"Stephane Ruffier",294,"Ricky van Wolfswinkel",5
"3","Wayne Rooney",93,"Petr Cech",445,"Gorka Iraizoz Moreno",286,"Filip Djuricic",5
"4","Cristiano Ronaldo",93,"Iker Casillas",442,"Samir Handanovic",286,"Radamel Falcao",4
"5","Xavi Hernandez",92,"Manuel Neuer",440,"Hugo Lloris",282,"Jonathan De Guzman",4
"6","Gregory Coupet",92,"Julio Cesar",438,"Tim Howard",282,"Almen Abdi",4
"7","Thierry Henry",91,"Sebastian Frey",437,"Joe Hart",275,"Ibrahim Afellay",4
"8","John Terry",91,"Edwin van der Sar",436,"Cedric Carrasso",268,"Edson Braafheid",4
"9","Iker Casillas",91,"David De Gea",429,"Daniel Congre",262,"Eljero Elia",4
"10","Alessandro Nesta",91,"Pepe Reina",428,"Moussa Sissoko",260,"Danijel Pranjic",4
