"","TeamNamesByBuild","ByBuild","TeamNamesByChance","ByChanceAttributes","TeamNamesByDef","byDefAtrributes","TeamsByGoals","ByGoals"
"1","Torino",209,"Lazio",220,"Jagiellonia Białystok",210,"FC Barcelona",849
"2","Udinese",205,"SV Werder Bremen",216,"SC Bastia",210,"Real Madrid CF",843
"3","Fortuna Düsseldorf",198,"Napoli",215,"Zagłębie Lubin",210,"Celtic",695
"4","Podbeskidzie Bielsko-Biała",193,"Bayer 04 Leverkusen",210,"Leicester City",210,"FC Bayern Munich",653
"5","Korona Kielce",192,"Burnley",210,"Cardiff City",210,"PSV",652
"6","Widzew Łódź",190,"Cardiff City",210,"1. FC Kaiserslautern",210,"Ajax",647
"7","Widzew Łódź",190,"Manchester City",210,"Southampton",210,"FC Basel",619
"8","Carpi",190,"Aberdeen",210,"AS Nancy-Lorraine",210,"Manchester City",606
"9","FC Nantes",189,"Rangers",210,"Blackpool",210,"Chelsea",583
"10","Sassuolo",188,"Tottenham Hotspur",210,"Stade Brestois 29",210,"Manchester United",582
